
Quadro extraído em 24 de Maio de 2021 (19:18:26)
http://www.ine.pt



Período de referência dos dados;Local de residência (NUTS - 2013) (1) ;População residente (N.º) por Local de residência (NUTS - 2013), Sexo e Grupo etário -  Anual (2) ;;;
;;Sexo;;;
;;HM;H;M;
;;Grupo etário;;;
;;Total;;;
;;N.º ;N.º ;N.º ;
;16F1015: Pombal;52971;25285;27686;
;16F1016: Porto de Mós;23633;11435;12198;
;16G: Viseu Dão Lafões;256928;121062;135866;
;16G0901: Aguiar da Beira;4934;2296;2638;
;16G1802: Carregal do Sal;9472;4480;4992;
;16G1803: Castro Daire;14344;6852;7492;
;16G1806: Mangualde;19048;9189;9859;
;16G1809: Nelas;13354;6285;7069;
;16G1810: Oliveira de Frades;9999;4724;5275;
;16G1811: Penalva do Castelo;7387;3526;3861;
;16G1814: Santa Comba Dão;10756;4986;5770;
;16G1816: São Pedro do Sul;15875;7414;8461;
;16G1817: Sátão;11835;5617;6218;
;16G1821: Tondela;27315;12905;14410;
;16G1822: Vila Nova de Paiva;4833;2276;2557;
;16G1823: Viseu;97849;45818;52031;
;16G1824: Vouzela;9927;4694;5233;
;16H: Beira Baixa;82731;39198;43533;
;16H0502: Castelo Branco;53127;25164;27963;
;16H0505: Idanha-a-Nova;8540;4039;4501;
;16H0506: Oleiros;5197;2433;2764;
;16H0507: Penamacor;5005;2448;2557;
;16H0508: Proença-a-Nova;7623;3604;4019;
;16H0511: Vila Velha de Ródão;3239;1510;1729;
;16I: Médio Tejo;236256;111734;124522;
;16I1401: Abrantes;36284;17314;18970;
;16I1402: Alcanena;13063;6220;6843;
;16I1408: Constância;3990;1843;2147;
;16I1410: Entroncamento;20797;9745;11052;
;16I1411: Ferreira do Zêzere;8126;3838;4288;
;16I1413: Mação;6586;3122;3464;
;16I1421: Ourém;44751;21162;23589;
;16I1417: Sardoal;3792;1828;1964;
;16I0509: Sertã;14983;7056;7927;
;16I1418: Tomar;37795;17813;19982;
;16I1419: Torres Novas;35420;16777;18643;
;16I0510: Vila de Rei;3355;1506;1849;
;16I1420: Vila Nova da Barquinha;7314;3510;3804;
;16J: Beiras e Serra da Estrela;218961;103404;115557;
;16J0902: Almeida;6203;2871;3332;
;16J0501: Belmonte;6506;3116;3390;
;16J0903: Celorico da Beira;7167;3343;3824;
;16J0503: Covilhã;48184;22872;25312;
;16J0904: Figueira de Castelo Rodrigo;5845;2804;3041;
;16J0905: Fornos de Algodres;4720;2166;2554;
;16J0504: Fundão;27355;13058;14297;
;16J0906: Gouveia;12923;5896;7027;
;16J0907: Guarda;39858;18890;20968;
;16J0908: Manteigas;3139;1480;1659;
;16J0909: Mêda;4740;2239;2501;
;16J0910: Pinhel;8843;4153;4690;
;16J0911: Sabugal;11242;5275;5967;
;16J0912: Seia;23027;10871;12156;
;16J0913: Trancoso;9209;4370;4839;
;17: Área Metropolitana de Lisboa;2821349;1323826;1497523;
;170: Área Metropolitana de Lisboa;2821349;1323826;1497523;
;1701502: Alcochete;19020;9086;9934;
;1701503: Almada;169330;79402;89928;
;1701115: Amadora;178169;82961;95208;
;1701504: Barreiro;75978;35425;40553;
;1701105: Cascais;210889;98084;112805;
;1701106: Lisboa;504964;231082;273882;
;1701107: Loures;207567;98313;109254;
;1701109: Mafra;82581;39904;42677;
;1701506: Moita;64767;30512;34255;
;1701507: Montijo;55742;26951;28791;
;1701116: Odivelas;156083;73356;82727;
;1701110: Oeiras;174249;80472;93777;
;1701508: Palmela;64146;30732;33414;
;1701510: Seixal;165123;78263;86860;
;1701511: Sesimbra;50972;24864;26108;
;1701512: Setúbal;116979;55386;61593;
;1701111: Sintra;383946;181944;202002;
;1701114: Vila Franca de Xira;140844;67089;73755;
;18: Alentejo;718087;345681;372406;
;181: Alentejo Litoral;94291;46479;47812;
;1811501: Alcácer do Sal;12000;5719;6281;
;1811505: Grândola;14662;7615;7047;
;1810211: Odemira;24917;12347;12570;
;1811509: Santiago do Cacém;29047;14129;14918;
;1811513: Sines;13665;6669;6996;
;184: Baixo Alentejo;119024;57751;61273;
;1840201: Aljustrel;8493;4157;4336;
;1840202: Almodôvar;6888;3342;3546;
;1840203: Alvito;2469;1178;1291;
;1840204: Barrancos;1687;828;859;
;1840205: Beja;34021;16533;17488;
;1840206: Castro Verde;7082;3466;3616;
;1840207: Cuba;4698;2268;2430;
;1840208: Ferreira do Alentejo;7941;3822;4119;
;1840209: Mértola;6424;3104;3320;
;1840210: Moura;14080;6805;7275;
;1840212: Ourique;4825;2344;2481;
;1840213: Serpa;14809;7232;7577;
;1840214: Vidigueira;5607;2672;2935;
;185: Lezíria do Tejo;239977;115124;124853;
;1851403: Almeirim;22912;10733;12179;
;1851404: Alpiarça;7209;3496;3713;
;1851103: Azambuja;22258;11736;10522;
;1851405: Benavente;29965;14434;15531;
;1851406: Cartaxo;23939;11410;12529;
;1851407: Chamusca;9510;4537;4973;
;1851409: Coruche;18272;8637;9635;
;1851412: Golegã;5508;2536;2972;
;1851414: Rio Maior;20582;9876;10706;
;1851415: Salvaterra de Magos;21567;10252;11315;
;1851416: Santarém;58255;27477;30778;
;186: Alto Alentejo;108588;51683;56905;
;1861201: Alter do Chão;3263;1550;1713;
;1861202: Arronches;2952;1408;1544;
;1861203: Avis;4338;2061;2277;
;1861204: Campo Maior;8115;3926;4189;
;1861205: Castelo de Vide;3058;1445;1613;
;1861206: Crato;3300;1524;1776;
;1861207: Elvas;21270;10106;11164;
;1861208: Fronteira;3059;1394;1665;
;1861209: Gavião;3533;1660;1873;
;1861210: Marvão;3173;1553;1620;
;1861211: Monforte;3064;1400;1664;
;1861212: Nisa;6446;3049;3397;
;1861213: Ponte de Sor;15489;7429;8060;
;1861214: Portalegre;22922;10985;11937;
;1861215: Sousel;4606;2193;2413;
;187: Alentejo Central;156207;74644;81563;
;1870701: Alandroal;5271;2533;2738;
;1870702: Arraiolos;7057;3402;3655;
;1870703: Borba;6950;3381;3569;
;1870704: Estremoz;13156;6237;6919;
;1870705: Évora;53294;25048;28246;
;1870706: Montemor-o-Novo;16129;7752;8377;
;1870707: Mora;4382;2102;2280;
;1870708: Mourão;2511;1251;1260;
;1870709: Portel;6016;2966;3050;
;1870710: Redondo;6567;3154;3413;
;1870711: Reguengos de Monsaraz;10254;5018;5236;
;1870712: Vendas Novas;11463;5415;6048;
;1870713: Viana do Alentejo;5263;2547;2716;
;1870714: Vila Viçosa;7894;3838;4056;
;15: Algarve;441469;211339;230130;
;150: Algarve;441469;211339;230130;
;1500801: Albufeira;40633;19605;21028;
;1500802: Alcoutim;2403;1168;1235;
;1500803: Aljezur;5609;2722;2887;
;1500804: Castro Marim;6402;3137;3265;
;1500805: Faro;61073;29005;32068;
;1500806: Lagoa;22799;11031;11768;
;1500807: Lagos;30714;14586;16128;
;1500808: Loulé;69344;33223;36121;
;1500809: Monchique;5386;2626;2760;
;1500810: Olhão;45143;21511;23632;
;1500811: Portimão;55453;26294;29159;
;1500812: São Brás de Alportel;10536;5118;5418;
;1500813: Silves;36476;17887;18589;
;1500814: Tavira;25263;11988;13275;
;1500815: Vila do Bispo;5192;2521;2671;
;1500816: Vila Real de Santo António;19043;8917;10126;
;2: Região Autónoma dos Açores;245283;119679;125604;
;20: Região Autónoma dos Açores;245283;119679;125604;
;200: Região Autónoma dos Açores;245283;119679;125604;
;2004301: Angra do Heroísmo;34423;16533;17890;
;2004501: Calheta;3278;1633;1645;
;2004901: Corvo;460;261;199;
;2004701: Horta;14759;7177;7582;
;2004201: Lagoa;14728;7225;7503;
;2004801: Lajes das Flores;1494;799;695;
;2004601: Lajes do Pico;4591;2218;2373;
;2004602: Madalena;5948;2854;3094;
;2004202: Nordeste;4952;2447;2505;
;2004203: Ponta Delgada;68352;33081;35271;
;2004204: Povoação;6080;2921;3159;
;2004205: Ribeira Grande;32770;16396;16374;
;2004401: Santa Cruz da Graciosa;4301;2090;2211;
;2004802: Santa Cruz das Flores;2198;1062;1136;
;2004603: São Roque do Pico;3295;1637;1658;
;2004502: Velas;5213;2601;2612;
;2004302: Vila da Praia da Vitória;21532;10512;11020;
;2004101: Vila do Porto;5653;2687;2966;
;2004206: Vila Franca do Campo;11256;5545;5711;
;3: Região Autónoma da Madeira;254876;118860;136016;
;30: Região Autónoma da Madeira;254876;118860;136016;
;300: Região Autónoma da Madeira;254876;118860;136016;
;3003101: Calheta;10946;4940;6006;
;3003102: Câmara de Lobos;34047;16179;17868;
;3003103: Funchal;104813;48130;56683;
;3003104: Machico;20453;9819;10634;
;3003105: Ponta do Sol;8557;3893;4664;
;3003106: Porto Moniz;2390;1007;1383;
;3003201: Porto Santo;5162;2543;2619;
;3003107: Ribeira Brava;12446;5617;6829;
;3003108: Santa Cruz;44026;21279;22747;
;3003109: Santana;6876;3090;3786;
;3003110: São Vicente;5160;2363;2797;
2015;PT: Portugal;10341330;4901509;5439821;
;1: Continente;9839140;4661522;5177618;
;11: Norte;3603778;1709888;1893890;
;111: Alto Minho;236270;109632;126638;
;1111601: Arcos de Valdevez;21621;9820;11801;
;1111602: Caminha;16104;7390;8714;
;1111603: Melgaço;8558;3759;4799;
;1111604: Monção;18467;8348;10119;
;1111605: Paredes de Coura;8833;4192;4641;
;1111606: Ponte da Barca;11516;5263;6253;
;1111607: Ponte de Lima;42512;19859;22653;
;1111608: Valença;13554;6290;7264;
;1111609: Viana do Castelo;86136;40432;45704;
;1111610: Vila Nova de Cerveira;8969;4279;4690;
;112: Cávado;406530;193646;212884;
;1120301: Amares;18300;8830;9470;
;1120302: Barcelos;118605;56844;61761;
;1120303: Braga;181502;85919;95583;
;1120306: Esposende;34040;16125;17915;
;1120310: Terras de Bouro;6655;3181;3474;
;1120313: Vila Verde;47428;22747;24681;
;119: Ave;418411;200627;217784;
;1190304: Cabeceiras de Basto;16168;7836;8332;
;1190307: Fafe;49351;23133;26218;
;1190308: Guimarães;154920;74568;80352;
;1191705: Mondim de Basto;7160;3444;3716;
;1190309: Póvoa de Lanhoso;21690;10291;11399;
;1190311: Vieira do Minho;12292;5896;6396;
;1190312: Vila Nova de Famalicão;133028;63894;69134;
;1190314: Vizela;23802;11565;12237;
;11A: Área Metropolitana do Porto;1723618;813159;910459;
;11A0104: Arouca;21392;10203;11189;
;11A0107: Espinho;29708;13918;15790;
;11A1304: Gondomar;166338;79126;87212;
;11A1306: Maia;135678;64331;71347;
;11A1308: Matosinhos;173451;81483;91968;
;11A0113: Oliveira de Azeméis;66978;32038;34940;
;11A1310: Paredes;86554;42100;44454;
;11A1312: Porto;214579;96459;118120;
;11A1313: Póvoa de Varzim;62522;29410;33112;
;11A0109: Santa Maria da Feira;139478;66865;72613;
;11A1314: Santo Tirso;69557;32958;36599;
;11A0116: São João da Madeira;21449;10064;11385;
;11A1318: Trofa;38264;18227;20037;
;11A0119: Vale de Cambra;21911;10508;11403;
;11A1315: Valongo;95188;45105;50083;
;11A1316: Vila do Conde;79399;38072;41327;
;11A1317: Vila Nova de Gaia;301172;142292;158880;
;11B: Alto Tâmega;89260;42346;46914;
;11B1702: Boticas;5309;2508;2801;
;11B1703: Chaves;40138;19100;21038;
;11B1706: Montalegre;9541;4517;5024;
;11B1709: Ribeira de Pena;6222;3051;3171;
;11B1712: Valpaços;15620;7258;8362;
;11B1713: Vila Pouca de Aguiar;12430;5912;6518;
;11C: Tâmega e Sousa;423683;204723;218960;
;11C1301: Amarante;54432;25923;28509;
;11C1302: Baião;19488;9321;10167;
;11C0106: Castelo de Paiva;15980;7761;8219;
;11C0305: Celorico de Basto;19485;9408;10077;
;11C1804: Cinfães;19122;9248;9874;
;11C1303: Felgueiras;57246;27399;29847;
;11C1305: Lousada;47075;22723;24352;
;11C1307: Marco de Canaveses;52480;25401;27079;
;11C1309: Paços de Ferreira;57024;28316;28708;
;11C1311: Penafiel;70759;34098;36661;
;11C1813: Resende;10592;5125;5467;
;11D: Douro;195247;92777;102470;
;11D1701: Alijó;11093;5276;5817;
;11D1801: Armamar;5939;2771;3168;
;11D0403: Carrazeda de Ansiães;5885;2782;3103;
;11D0404: Freixo de Espada à Cinta;3492;1638;1854;
;11D1805: Lamego;25480;12137;13343;
;11D1704: Mesão Frio;4101;1891;2210;
;11D1807: Moimenta da Beira;9872;4714;5158;
;11D1707: Murça;5633;2685;2948;
;11D1812: Penedono;2736;1306;1430;
;11D1708: Peso da Régua;16225;7596;8629;
;11D1710: Sabrosa;6024;2884;3140;
;11D1711: Santa Marta de Penaguião;6848;3208;3640;
;11D1815: São João da Pesqueira;7370;3612;3758;
;11D1818: Sernancelhe;5484;2649;2835;
;11D1819: Tabuaço;6138;2914;3224;
;11D1820: Tarouca;7784;3750;4034;
;11D0409: Torre de Moncorvo;7975;3783;4192;
;11D0914: Vila Nova de Foz Côa;6792;3188;3604;
;11D1714: Vila Real;50376;23993;26383;
;11E: Terras de Trás-os-Montes;110759;52978;57781;
;11E0401: Alfândega da Fé;4688;2269;2419;
;11E0402: Bragança;34033;16388;17645;
;11E0405: Macedo de Cavaleiros;14882;6986;7896;
;11E0406: Miranda do Douro;7138;3474;3664;
;11E0407: Mirandela;22419;10530;11889;
;11E0408: Mogadouro;8815;4275;4540;
;11E0410: Vila Flor;6242;2969;3273;
;11E0411: Vimioso;4253;2057;2196;
;11E0412: Vinhais;8289;4030;4259;
;16: Centro;2256364;1069996;1186368;
;16B: Oeste;358594;171964;186630;
;16B1001: Alcobaça;55063;26416;28647;
;16B1101: Alenquer;43136;20876;22260;
;16B1102: Arruda dos Vinhos;14475;7003;7472;
;16B1005: Bombarral;12668;6090;6578;
;16B1104: Cadaval;13834;6676;7158;
;16B1006: Caldas da Rainha;51542;24307;27235;
;16B1108: Lourinhã;25629;12343;13286;
;16B1011: Nazaré;14422;6806;7616;
;16B1012: Óbidos;11612;5601;6011;
;16B1014: Peniche;26994;12913;14081;
;16B1112: Sobral de Monte Agraço;10230;5017;5213;
;16B1113: Torres Vedras;78989;37916;41073;
;16D: Região de Aveiro;364313;172883;191430;
;16D0101: Águeda;46825;22440;24385;
;16D0102: Albergaria-a-Velha;24476;11727;12749;
;16D0103: Anadia;27993;13320;14673;
;16D0105: Aveiro;76882;35896;40986;
;16D0108: Estarreja;26338;12582;13756;
;16D0110: Ílhavo;38367;18122;20245;
;16D0112: Murtosa;10407;5008;5399;
;16D0114: Oliveira do Bairro;23661;11184;12477;
;16D0115: Ovar;54607;26031;28576;
;16D0117: Sever do Vouga;11852;5708;6144;
;16D0118: Vagos;22905;10865;12040;
;16E: Região de Coimbra;441867;207817;234050;
;16E0601: Arganil;11432;5421;6011;
;16E0602: Cantanhede;35878;17004;18874;
;16E0603: Coimbra;134578;62488;72090;
;16E0604: Condeixa-a-Nova;17409;8113;9296;
;16E0605: Figueira da Foz;60415;28410;32005;
;16E0606: Góis;3985;1839;2146;
;16E0607: Lousã;17231;8320;8911;
;16E0111: Mealhada;20160;9537;10623;
;16E0608: Mira;12110;5711;6399;
;16E0609: Miranda do Corvo;12861;6166;6695;
;16E0610: Montemor-o-Velho;25678;12321;13357;
;16E1808: Mortágua;9184;4297;4887;
;16E0611: Oliveira do Hospital;19984;9517;10467;
;16E0612: Pampilhosa da Serra;4143;1912;2231;
;16E0613: Penacova;14399;6730;7669;
;16E0614: Penela;5612;2620;2992;
;16E0615: Soure;18027;8487;9540;
;16E0616: Tábua;11726;5594;6132;
;16E0617: Vila Nova de Poiares;7055;3330;3725;
;16F: Região de Leiria;289215;138087;151128;
;16F1002: Alvaiázere;6895;3192;3703;
;16F1003: Ansião;12574;5921;6653;
;16F1004: Batalha;15842;7561;8281;
;16F1007: Castanheira de Pêra;2801;1293;1508;
;16F1008: Figueiró dos Vinhos;5811;2723;3088;
;16F1009: Leiria;125721;60267;65454;
;16F1010: Marinha Grande;38613;18317;20296;
;16F1013: Pedrógão Grande;3562;1692;1870;
;16F1015: Pombal;53604;25582;28022;
;16F1016: Porto de Mós;23792;11539;12253;
;16G: Viseu Dão Lafões;259168;122206;136962;
;16G0901: Aguiar da Beira;5040;2352;2688;
;16G1802: Carregal do Sal;9580;4534;5046;
;16G1803: Castro Daire;14552;6967;7585;
;16G1806: Mangualde;19241;9269;9972;
;16G1809: Nelas;13472;6335;7137;
;16G1810: Oliveira de Frades;10060;4748;5312;
;16G1811: Penalva do Castelo;7493;3580;3913;
;16G1814: Santa Comba Dão;10905;5063;5842;
;16G1816: São Pedro do Sul;16065;7500;8565;
;16G1817: Sátão;11949;5690;6259;
;16G1821: Tondela;27701;13091;14610;
;16G1822: Vila Nova de Paiva;4909;2310;2599;
;16G1823: Viseu;98164;46008;52156;
;16G1824: Vouzela;10037;4759;5278;
;16H: Beira Baixa;83628;39668;43960;
;16H0502: Castelo Branco;53507;25368;28139;
;16H0505: Idanha-a-Nova;8712;4132;4580;
;16H0506: Oleiros;5270;2472;2798;
;16H0507: Penamacor;5116;2492;2624;
;16H0508: Proença-a-Nova;7741;3676;4065;
;16H0511: Vila Velha de Ródão;3282;1528;1754;
;16I: Médio Tejo;237812;112555;125257;
;16I1401: Abrantes;36701;17508;19193;
;16I1402: Alcanena;13199;6289;6910;
;16I1408: Constância;3984;1851;2133;
;16I1410: Entroncamento;20568;9658;10910;
;16I1411: Ferreira do Zêzere;8191;3871;4320;
;16I1413: Mação;6698;3172;3526;
;16I1421: Ourém;45037;21296;23741;
;16I1417: Sardoal;3821;1850;1971;
;16I0509: Sertã;15165;7143;8022;
;16I1418: Tomar;38183;17998;20185;
;16I1419: Torres Novas;35587;16885;18702;
;16I0510: Vila de Rei;3392;1532;1860;
;16I1420: Vila Nova da Barquinha;7286;3502;3784;
;16J: Beiras e Serra da Estrela;221767;104816;116951;
;16J0902: Almeida;6323;2929;3394;
;16J0501: Belmonte;6531;3145;3386;
;16J0903: Celorico da Beira;7246;3385;3861;
;16J0503: Covilhã;48741;23181;25560;
;16J0904: Figueira de Castelo Rodrigo;5918;2841;3077;
;16J0905: Fornos de Algodres;4796;2195;2601;
;16J0504: Fundão;27714;13219;14495;
;16J0906: Gouveia;13114;5998;7116;
;16J0907: Guarda;40237;19082;21155;
;16J0908: Manteigas;3199;1504;1695;
;16J0909: Mêda;4802;2274;2528;
;16J0910: Pinhel;8983;4232;4751;
;16J0911: Sabugal;11489;5385;6104;
;16J0912: Seia;23329;11018;12311;
;16J0913: Trancoso;9345;4428;4917;
;17: Área Metropolitana de Lisboa;2812678;1320895;1491783;
;170: Área Metropolitana de Lisboa;2812678;1320895;1491783;
;1701502: Alcochete;18807;8982;9825;
;1701503: Almada;169689;79697;89992;
;1701115: Amadora;176644;82321;94323;
;1701504: Barreiro;76433;35711;40722;
;1701105: Cascais;210361;97946;112415;
;1701106: Lisboa;504471;230627;273844;
;1701107: Loures;205870;97570;108300;
;1701109: Mafra;81961;39638;42323;
;1701506: Moita;65104;30763;34341;
;1701507: Montijo;55153;26661;28492;
;1701116: Odivelas;154462;72660;81802;
;1701110: Oeiras;173339;80071;93268;
;1701508: Palmela;64110;30749;33361;
;1701510: Seixal;164625;78234;86391;
;1701511: Sesimbra;50734;24811;25923;
;1701512: Setúbal;117780;55845;61935;
;1701111: Sintra;382521;181516;201005;
;1701114: Vila Franca de Xira;140614;67093;73521;
;18: Alentejo;724391;348859;375532;
;181: Alentejo Litoral;94874;46859;48015;
;1811501: Alcácer do Sal;12170;5819;6351;
;1811505: Grândola;14708;7605;7103;
;1810211: Odemira;25135;12513;12622;
;1811509: Santiago do Cacém;29183;14219;14964;
;1811513: Sines;13678;6703;6975;
;184: Baixo Alentejo;120128;58317;61811;
;1840201: Aljustrel;8589;4219;4370;
;1840202: Almodôvar;6965;3383;3582;
;1840203: Alvito;2485;1188;1297;
;1840204: Barrancos;1717;844;873;
;1840205: Beja;34148;16586;17562;
;1840206: Castro Verde;7145;3506;3639;
;1840207: Cuba;4757;2297;2460;
;1840208: Ferreira do Alentejo;7976;3847;4129;
;1840209: Mértola;6534;3163;3371;
;1840210: Moura;14241;6882;7359;
;1840212: Ourique;4912;2389;2523;
;1840213: Serpa;15005;7313;7692;
;1840214: Vidigueira;5654;2700;2954;
;185: Lezíria do Tejo;241408;115785;125623;
;1851403: Almeirim;23092;10820;12272;
;1851404: Alpiarça;7289;3523;3766;
;1851103: Azambuja;22184;11649;10535;
;1851405: Benavente;29874;14421;15453;
;1851406: Cartaxo;24020;11452;12568;
;1851407: Chamusca;9639;4597;5042;
;1851409: Coruche;18587;8788;9799;
;1851412: Golegã;5576;2569;3007;
;1851414: Rio Maior;20704;9946;10758;
;1851415: Salvaterra de Magos;21755;10348;11407;
;1851416: Santarém;58688;27672;31016;
;186: Alto Alentejo;110235;52504;57731;
;1861201: Alter do Chão;3308;1564;1744;
;1861202: Arronches;2988;1422;1566;
;1861203: Avis;4387;2084;2303;
;1861204: Campo Maior;8214;3972;4242;
;1861205: Castelo de Vide;3116;1485;1631;
;1861206: Crato;3378;1569;1809;
;1861207: Elvas;21571;10249;11322;
;1861208: Fronteira;3088;1424;1664;
;1861209: Gavião;3645;1713;1932;
;1861210: Marvão;3230;1586;1644;
;1861211: Monforte;3103;1416;1687;
;1861212: Nisa;6649;3138;3511;
;1861213: Ponte de Sor;15709;7553;8156;
;1861214: Portalegre;23175;11111;12064;
;1861215: Sousel;4674;2218;2456;
;187: Alentejo Central;157746;75394;82352;
;1870701: Alandroal;5357;2579;2778;
;1870702: Arraiolos;7107;3423;3684;
;1870703: Borba;7034;3429;3605;
;1870704: Estremoz;13306;6308;6998;
;1870705: Évora;53654;25210;28444;
;1870706: Montemor-o-Novo;16323;7832;8491;
;1870707: Mora;4484;2150;2334;
;1870708: Mourão;2529;1263;1266;
;1870709: Portel;6104;3010;3094;
;1870710: Redondo;6649;3198;3451;
;1870711: Reguengos de Monsaraz;10363;5082;5281;
;1870712: Vendas Novas;11534;5450;6084;
;1870713: Viana do Alentejo;5315;2574;2741;
;1870714: Vila Viçosa;7987;3886;4101;
;15: Algarve;441929;211884;230045;
;150: Algarve;441929;211884;230045;
;1500801: Albufeira;40357;19494;20863;
;1500802: Alcoutim;2482;1211;1271;
;1500803: Aljezur;5615;2734;2881;
;1500804: Castro Marim;6450;3168;3282;
;1500805: Faro;61019;28965;32054;
;1500806: Lagoa;22787;11032;11755;
;1500807: Lagos;30778;14656;16122;
;1500808: Loulé;69453;33353;36100;
;1500809: Monchique;5476;2663;2813;
;1500810: Olhão;45253;21613;23640;
;1500811: Portimão;55439;26326;29113;
;1500812: São Brás de Alportel;10575;5150;5425;
;1500813: Silves;36547;17970;18577;
;1500814: Tavira;25415;12078;13337;
;1500815: Vila do Bispo;5206;2534;2672;
;1500816: Vila Real de Santo António;19077;8937;10140;
;2: Região Autónoma dos Açores;245766;120352;125414;
;20: Região Autónoma dos Açores;245766;120352;125414;
;200: Região Autónoma dos Açores;245766;120352;125414;
;2004301: Angra do Heroísmo;34586;16693;17893;
;2004501: Calheta;3312;1659;1653;
;2004901: Corvo;459;260;199;
;2004701: Horta;14824;7215;7609;
;2004201: Lagoa;14681;7240;7441;
;2004801: Lajes das Flores;1503;807;696;
;2004601: Lajes do Pico;4622;2245;2377;
;2004602: Madalena;5958;2873;3085;
;2004202: Nordeste;4977;2465;2512;
;2004203: Ponta Delgada;68403;33205;35198;
;2004204: Povoação;6132;2967;3165;
;2004205: Ribeira Grande;32720;16416;16304;
;2004401: Santa Cruz da Graciosa;4339;2113;2226;
;2004802: Santa Cruz das Flores;2196;1064;1132;
;2004603: São Roque do Pico;3303;1646;1657;
;2004502: Velas;5244;2622;2622;
;2004302: Vila da Praia da Vitória;21555;10579;10976;
;2004101: Vila do Porto;5652;2701;2951;
;2004206: Vila Franca do Campo;11300;5582;5718;
;3: Região Autónoma da Madeira;256424;119635;136789;
;30: Região Autónoma da Madeira;256424;119635;136789;
;300: Região Autónoma da Madeira;256424;119635;136789;
;3003101: Calheta;11052;4977;6075;
;3003102: Câmara de Lobos;34246;16308;17938;
;3003103: Funchal;105562;48505;57057;
;3003104: Machico;20654;9924;10730;
;3003105: Ponta do Sol;8619;3921;4698;
;3003106: Porto Moniz;2417;1020;1397;
;3003201: Porto Santo;5186;2558;2628;
;3003107: Ribeira Brava;12555;5664;6891;
;3003108: Santa Cruz;43925;21215;22710;
;3003109: Santana;6992;3148;3844;
;3003110: São Vicente;5216;2395;2821;
2014;PT: Portugal;10374822;4923666;5451156;
;1: Continente;9869783;4681840;5187943;
;11: Norte;3621785;1720635;1901150;
;111: Alto Minho;237997;110460;127537;
;1111601: Arcos de Valdevez;21885;9943;11942;
;1111602: Caminha;16248;7475;8773;
;1111603: Melgaço;8670;3811;4859;
;1111604: Monção;18626;8416;10210;
;1111605: Paredes de Coura;8898;4221;4677;
;1111606: Ponte da Barca;11639;5328;6311;
;1111607: Ponte de Lima;42708;19966;22742;
;1111608: Valença;13664;6334;7330;
;1111609: Viana do Castelo;86620;40654;45966;
;1111610: Vila Nova de Cerveira;9039;4312;4727;
;112: Cávado;407420;194317;213103;
;1120301: Amares;18417;8891;9526;
;1120302: Barcelos;119011;57137;61874;
;1120303: Braga;181553;86077;95476;
;1120306: Esposende;34125;16183;17942;
;1120310: Terras de Bouro;6768;3235;3533;
;1120313: Vila Verde;47546;22794;24752;
;119: Ave;419826;201543;218283;
;1190304: Cabeceiras de Basto;16235;7872;8363;
;1190307: Fafe;49579;23264;26315;
;1190308: Guimarães;155508;74960;80548;
;1191705: Mondim de Basto;7231;3470;3761;
;1190309: Póvoa de Lanhoso;21743;10313;11430;
;1190311: Vieira do Minho;12441;5967;6474;
;1190312: Vila Nova de Famalicão;133277;64107;69170;
;1190314: Vizela;23812;11590;12222;
;11A: Área Metropolitana do Porto;1731354;818098;913256;
;11A0104: Arouca;21528;10306;11222;
;11A0107: Espinho;30056;14106;15950;
;11A1304: Gondomar;166841;79553;87288;
;11A1306: Maia;135817;64488;71329;
;11A1308: Matosinhos;174045;81946;92099;
;11A0113: Oliveira de Azeméis;67349;32281;35068;
;11A1310: Paredes;86668;42217;44451;
;11A1312: Porto;218231;98207;120024;
;11A1313: Póvoa de Varzim;62707;29508;33199;
;11A0109: Santa Maria da Feira;139610;67048;72562;
;11A1314: Santo Tirso;70001;33230;36771;
;11A0116: São João da Madeira;21548;10118;11430;
;11A1318: Trofa;38406;18321;20085;
;11A0119: Vale de Cambra;22123;10630;11493;
;11A1315: Valongo;95087;45132;49955;
;11A1316: Vila do Conde;79518;38171;41347;
;11A1317: Vila Nova de Gaia;301819;142836;158983;
;11B: Alto Tâmega;90211;42834;47377;
;11B1702: Boticas;5394;2547;2847;
;11B1703: Chaves;40382;19223;21159;
;11B1706: Montalegre;9734;4627;5107;
;11B1709: Ribeira de Pena;6269;3073;3196;
;11B1712: Valpaços;15875;7388;8487;
;11B1713: Vila Pouca de Aguiar;12557;5976;6581;
;11C: Tâmega e Sousa;425588;205888;219700;
;11C1301: Amarante;54775;26115;28660;
;11C1302: Baião;19682;9405;10277;
;11C0106: Castelo de Paiva;16120;7832;8288;
;11C0305: Celorico de Basto;19619;9487;10132;
;11C1804: Cinfães;19365;9363;10002;
;11C1303: Felgueiras;57411;27543;29868;
;11C1305: Lousada;47176;22812;24364;
;11C1307: Marco de Canaveses;52708;25520;27188;
;11C1309: Paços de Ferreira;56984;28325;28659;
;11C1311: Penafiel;71023;34293;36730;
;11C1813: Resende;10725;5193;5532;
;11D: Douro;197210;93765;103445;
;11D1701: Alijó;11246;5366;5880;
;11D1801: Armamar;6006;2812;3194;
;11D0403: Carrazeda de Ansiães;5972;2823;3149;
;11D0404: Freixo de Espada à Cinta;3559;1674;1885;
;11D1805: Lamego;25751;12275;13476;
;11D1704: Mesão Frio;4164;1924;2240;
;11D1807: Moimenta da Beira;9936;4738;5198;
;11D1707: Murça;5718;2732;2986;
