
Quadro extraído em 24 de Maio de 2021 (19:18:26)
http://www.ine.pt



Período de referência dos dados;Local de residência (NUTS - 2013) (1) ;População residente (N.º) por Local de residência (NUTS - 2013), Sexo e Grupo etário -  Anual (2) ;;;
;;Sexo;;;
;;HM;H;M;
;;Grupo etário;;;
;;Total;;;
;;N.º ;N.º ;N.º ;
;1701105: Cascais;213608;98694;114914;
;1701106: Lisboa;509515;233432;276083;
;1701107: Loures;213687;100632;113055;
;1701109: Mafra;84816;40827;43989;
;1701506: Moita;64407;30206;34201;
;1701507: Montijo;57614;27874;29740;
;1701116: Odivelas;161774;75583;86191;
;1701110: Oeiras;177408;81714;95694;
;1701508: Palmela;64269;30587;33682;
;1701510: Seixal;167752;78884;88868;
;1701511: Sesimbra;51858;25097;26761;
;1701512: Setúbal;115126;54139;60987;
;1701111: Sintra;391402;184364;207038;
;1701114: Vila Franca de Xira;141957;67151;74806;
;18: Alentejo;704558;337966;366592;
;181: Alentejo Litoral;93521;45836;47685;
;1811501: Alcácer do Sal;11659;5516;6143;
;1811505: Grândola;14639;7668;6971;
;1810211: Odemira;24717;12122;12595;
;1811509: Santiago do Cacém;28791;13902;14889;
;1811513: Sines;13715;6628;7087;
;184: Baixo Alentejo;116332;56283;60049;
;1840201: Aljustrel;8247;4009;4238;
;1840202: Almodôvar;6725;3217;3508;
;1840203: Alvito;2477;1187;1290;
;1840204: Barrancos;1634;803;831;
;1840205: Beja;33579;16375;17204;
;1840206: Castro Verde;6949;3392;3557;
;1840207: Cuba;4595;2215;2380;
;1840208: Ferreira do Alentejo;7845;3774;4071;
;1840209: Mértola;6142;2928;3214;
;1840210: Moura;13718;6603;7115;
;1840212: Ourique;4607;2208;2399;
;1840213: Serpa;14304;6965;7339;
;1840214: Vidigueira;5510;2607;2903;
;185: Lezíria do Tejo;237868;113841;124027;
;1851403: Almeirim;22546;10530;12016;
;1851404: Alpiarça;7059;3426;3633;
;1851103: Azambuja;22716;12087;10629;
;1851405: Benavente;30602;14629;15973;
;1851406: Cartaxo;23843;11317;12526;
;1851407: Chamusca;9197;4390;4807;
;1851409: Coruche;17471;8201;9270;
;1851412: Golegã;5339;2442;2897;
;1851414: Rio Maior;20379;9722;10657;
;1851415: Salvaterra de Magos;21295;10050;11245;
;1851416: Santarém;57421;27047;30374;
;186: Alto Alentejo;104538;49532;55006;
;1861201: Alter do Chão;3165;1504;1661;
;1861202: Arronches;2820;1315;1505;
;1861203: Avis;4247;2005;2242;
;1861204: Campo Maior;7874;3785;4089;
;1861205: Castelo de Vide;2919;1366;1553;
;1861206: Crato;3129;1453;1676;
;1861207: Elvas;20528;9705;10823;
;1861208: Fronteira;2974;1336;1638;
;1861209: Gavião;3263;1540;1723;
;1861210: Marvão;3005;1460;1545;
;1861211: Monforte;2975;1355;1620;
;1861212: Nisa;6061;2870;3191;
;1861213: Ponte de Sor;14994;7139;7855;
;1861214: Portalegre;22172;10605;11567;
;1861215: Sousel;4412;2094;2318;
;187: Alentejo Central;152299;72474;79825;
;1870701: Alandroal;4992;2400;2592;
;1870702: Arraiolos;6928;3347;3581;
;1870703: Borba;6736;3252;3484;
;1870704: Estremoz;12728;6028;6700;
;1870705: Évora;52428;24549;27879;
;1870706: Montemor-o-Novo;15647;7490;8157;
;1870707: Mora;4138;1965;2173;
;1870708: Mourão;2450;1220;1230;
;1870709: Portel;5828;2870;2958;
;1870710: Redondo;6353;3021;3332;
;1870711: Reguengos de Monsaraz;10015;4890;5125;
;1870712: Vendas Novas;11255;5264;5991;
;1870713: Viana do Alentejo;5145;2486;2659;
;1870714: Vila Viçosa;7656;3692;3964;
;15: Algarve;438406;208963;229443;
;150: Algarve;438406;208963;229443;
;1500801: Albufeira;41528;19971;21557;
;1500802: Alcoutim;2159;1024;1135;
;1500803: Aljezur;5594;2693;2901;
;1500804: Castro Marim;6237;3017;3220;
;1500805: Faro;61015;28963;32052;
;1500806: Lagoa;22762;10958;11804;
;1500807: Lagos;30374;14346;16028;
;1500808: Loulé;68697;32709;35988;
;1500809: Monchique;5077;2443;2634;
;1500810: Olhão;44405;21076;23329;
;1500811: Portimão;55483;26212;29271;
;1500812: São Brás de Alportel;10416;5062;5354;
;1500813: Silves;36226;17715;18511;
;1500814: Tavira;24530;11563;12967;
;1500815: Vila do Bispo;5154;2492;2662;
;1500816: Vila Real de Santo António;18749;8719;10030;
;2: Região Autónoma dos Açores;242796;117884;124912;
;20: Região Autónoma dos Açores;242796;117884;124912;
;200: Região Autónoma dos Açores;242796;117884;124912;
;2004301: Angra do Heroísmo;33807;16159;17648;
;2004501: Calheta;3184;1575;1609;
;2004901: Corvo;464;264;200;
;2004701: Horta;14521;7043;7478;
;2004201: Lagoa;14721;7188;7533;
;2004801: Lajes das Flores;1463;784;679;
;2004601: Lajes do Pico;4490;2140;2350;
;2004602: Madalena;5895;2793;3102;
;2004202: Nordeste;4862;2396;2466;
;2004203: Ponta Delgada;67935;32738;35197;
;2004204: Povoação;5927;2811;3116;
;2004205: Ribeira Grande;32811;16329;16482;
;2004401: Santa Cruz da Graciosa;4208;2043;2165;
;2004802: Santa Cruz das Flores;2165;1041;1124;
;2004603: São Roque do Pico;3266;1607;1659;
;2004502: Velas;5093;2520;2573;
;2004302: Vila da Praia da Vitória;21317;10357;10960;
;2004101: Vila do Porto;5616;2659;2957;
;2004206: Vila Franca do Campo;11051;5437;5614;
;3: Região Autónoma da Madeira;254254;118669;135585;
;30: Região Autónoma da Madeira;254254;118669;135585;
;300: Região Autónoma da Madeira;254254;118669;135585;
;3003101: Calheta;10867;4942;5925;
;3003102: Câmara de Lobos;33675;15972;17703;
;3003103: Funchal;104024;47826;56198;
;3003104: Machico;19981;9588;10393;
;3003105: Ponta do Sol;8593;3901;4692;
;3003106: Porto Moniz;2342;977;1365;
;3003201: Porto Santo;5202;2539;2663;
;3003107: Ribeira Brava;12435;5627;6808;
;3003108: Santa Cruz;45281;21901;23380;
;3003109: Santana;6711;3039;3672;
;3003110: São Vicente;5143;2357;2786;
2018;PT: Portugal;10276617;4852366;5424251;
;1: Continente;9779826;4615656;5164170;
;11: Norte;3572583;1686752;1885831;
;111: Alto Minho;230954;106800;124154;
;1111601: Arcos de Valdevez;20970;9469;11501;
;1111602: Caminha;15873;7248;8625;
;1111603: Melgaço;8144;3547;4597;
;1111604: Monção;17902;8080;9822;
;1111605: Paredes de Coura;8560;4038;4522;
;1111606: Ponte da Barca;11210;5097;6113;
;1111607: Ponte de Lima;41499;19369;22130;
;1111608: Valença;13283;6132;7151;
;1111609: Viana do Castelo;84636;39608;45028;
;1111610: Vila Nova de Cerveira;8877;4212;4665;
;112: Cávado;403891;191603;212288;
;1120301: Amares;18114;8721;9393;
;1120302: Barcelos;116531;55563;60968;
;1120303: Braga;181919;85734;96185;
;1120306: Esposende;34057;16111;17946;
;1120310: Terras de Bouro;6405;3054;3351;
;1120313: Vila Verde;46865;22420;24445;
;119: Ave;412669;196848;215821;
;1190304: Cabeceiras de Basto;15699;7553;8146;
;1190307: Fafe;48271;22544;25727;
;1190308: Guimarães;152792;73170;79622;
;1191705: Mondim de Basto;6985;3328;3657;
;1190309: Póvoa de Lanhoso;21446;10135;11311;
;1190311: Vieira do Minho;11898;5660;6238;
;1190312: Vila Nova de Famalicão;131738;62924;68814;
;1190314: Vizela;23840;11534;12306;
;11A: Área Metropolitana do Porto;1722374;808894;913480;
;11A0104: Arouca;20861;9878;10983;
;11A0107: Espinho;29484;13740;15744;
;11A1304: Gondomar;165631;78389;87242;
;11A1306: Maia;137727;65021;72706;
;11A1308: Matosinhos;174382;81627;92755;
;11A0113: Oliveira de Azeméis;66113;31428;34685;
;11A1310: Paredes;86072;41619;44453;
;11A1312: Porto;215284;96680;118604;
;11A1313: Póvoa de Varzim;62510;29307;33203;
;11A0109: Santa Maria da Feira;138525;66020;72505;
;11A1314: Santo Tirso;68221;32144;36077;
;11A0116: São João da Madeira;21761;10155;11606;
;11A1318: Trofa;38317;18151;20166;
;11A0119: Vale de Cambra;21399;10195;11204;
;11A1315: Valongo;96570;45491;51079;
;11A1316: Vila do Conde;79579;38006;41573;
;11A1317: Vila Nova de Gaia;299938;141043;158895;
;11B: Alto Tâmega;86466;40631;45835;
;11B1702: Boticas;5059;2371;2688;
;11B1703: Chaves;39345;18603;20742;
;11B1706: Montalegre;9090;4246;4844;
;11B1709: Ribeira de Pena;6031;2926;3105;
;11B1712: Valpaços;14932;6839;8093;
;11B1713: Vila Pouca de Aguiar;12009;5646;6363;
;11C: Tâmega e Sousa;417268;200625;216643;
;11C1301: Amarante;53366;25227;28139;
;11C1302: Baião;18891;9023;9868;
;11C0106: Castelo de Paiva;15567;7532;8035;
;11C0305: Celorico de Basto;19075;9133;9942;
;11C1804: Cinfães;18470;8917;9553;
;11C1303: Felgueiras;56576;26920;29656;
;11C1305: Lousada;46790;22442;24348;
;11C1307: Marco de Canaveses;51661;24888;26773;
;11C1309: Paços de Ferreira;56709;28105;28604;
;11C1311: Penafiel;69922;33510;36412;
;11C1813: Resende;10241;4928;5313;
;11D: Douro;191101;90164;100937;
;11D1701: Alijó;10703;5053;5650;
;11D1801: Armamar;5792;2694;3098;
;11D0403: Carrazeda de Ansiães;5683;2647;3036;
;11D0404: Freixo de Espada à Cinta;3312;1534;1778;
;11D1805: Lamego;24959;11805;13154;
;11D1704: Mesão Frio;3996;1828;2168;
;11D1807: Moimenta da Beira;9729;4637;5092;
;11D1707: Murça;5480;2603;2877;
;11D1812: Penedono;2610;1234;1376;
;11D1708: Peso da Régua;15830;7355;8475;
;11D1710: Sabrosa;5917;2803;3114;
;11D1711: Santa Marta de Penaguião;6649;3094;3555;
;11D1815: São João da Pesqueira;7154;3486;3668;
;11D1818: Sernancelhe;5384;2589;2795;
;11D1819: Tabuaço;6017;2828;3189;
;11D1820: Tarouca;7761;3709;4052;
;11D0409: Torre de Moncorvo;7716;3608;4108;
;11D0914: Vila Nova de Foz Côa;6541;3051;3490;
;11D1714: Vila Real;49868;23606;26262;
;11E: Terras de Trás-os-Montes;107860;51187;56673;
;11E0401: Alfândega da Fé;4568;2193;2375;
;11E0402: Bragança;33586;16082;17504;
;11E0405: Macedo de Cavaleiros;14550;6774;7776;
;11E0406: Miranda do Douro;6877;3330;3547;
;11E0407: Mirandela;21808;10135;11673;
;11E0408: Mogadouro;8481;4072;4409;
;11E0410: Vila Flor;6073;2855;3218;
;11E0411: Vimioso;4070;1961;2109;
;11E0412: Vinhais;7847;3785;4062;
;16: Centro;2216569;1049038;1167531;
;16B: Oeste;356785;170674;186111;
;16B1001: Alcobaça;53641;25600;28041;
